run,type,tau_0,varrho,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio
1,full_mip,10,0,{1: 0.83},0.568888889,0.7578125,1669.362857,3600.245026,,{1: 0.0},"{'acc_margin': 0.569, 'prec1': 0.839, 'prec2': 0.014, 'prec3': 0.008, 'prec4': 0.017, 'prec5': -1}","{'acc_margin': {'nm': 128.0, 'dm': 225}, 1: {'nm': 78.0, 'dm': 93.0}, 2: {'nm': 3.0, 'dm': 219.0}, 3: {'nm': 3.0, 'dm': 380.0}, 4: {'nm': 6.0, 'dm': 346.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.569, 'acc_margin': 0.569, 'prec1': 0.871, 'prec2': 0.261, 'prec3': 0.34, 'prec4': 0.5, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 128, 'dm': 225}, 'acc_margin': {'nm': 128, 'dm': 225}, 'prec1': {'nm': 81, 'dm': 93}, 'prec2': {'nm': 12, 'dm': 46}, 'prec3': {'nm': 17, 'dm': 50}, 'prec4': {'nm': 18, 'dm': 36}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.461, 'acc_margin': 0.461, 'prec1': 0.744, 'prec2': 0.214, 'prec3': 0.143, 'prec4': 0.125, 'prec5': -1}",{'prec1': -0.086},"{'acc': {'nm': 35, 'dm': 76}, 'acc_margin': {'nm': 35, 'dm': 76}, 'prec1': {'nm': 29, 'dm': 39}, 'prec2': {'nm': 3, 'dm': 14}, 'prec3': {'nm': 1, 'dm': 7}, 'prec4': {'nm': 2, 'dm': 16}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.108, 'acc_margin': -0.108, 'prec1': -0.127, 'prec2': -0.047, 'prec3': -0.197, 'prec4': -0.375, 'prec5': 999}",0,0,0,0,0,0,0
1,base_fixed,10,0,{1: 0.83},0.604444444,0.654411765,2025.799796,2025.799805,,{1: 0.0},"{'acc_margin': 0.604, 'prec1': 0.882, 'prec2': 0.283, 'prec3': 0.45, 'prec4': 0.5, 'prec5': -1}","{'acc_margin': {'nm': 136.0, 'dm': 225}, 1: {'nm': 82.0, 'dm': 93.0}, 2: {'nm': 13.0, 'dm': 46.0}, 3: {'nm': 18.0, 'dm': 40.0}, 4: {'nm': 23.0, 'dm': 46.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.604, 'acc_margin': 0.604, 'prec1': 0.882, 'prec2': 0.283, 'prec3': 0.45, 'prec4': 0.5, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 136, 'dm': 225}, 'acc_margin': {'nm': 136, 'dm': 225}, 'prec1': {'nm': 82, 'dm': 93}, 'prec2': {'nm': 13, 'dm': 46}, 'prec3': {'nm': 18, 'dm': 40}, 'prec4': {'nm': 23, 'dm': 46}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.5, 'acc_margin': 0.5, 'prec1': 0.756, 'prec2': 0.25, 'prec3': 0.167, 'prec4': 0.176, 'prec5': -1}",{'prec1': -0.074},"{'acc': {'nm': 38, 'dm': 76}, 'acc_margin': {'nm': 38, 'dm': 76}, 'prec1': {'nm': 31, 'dm': 41}, 'prec2': {'nm': 3, 'dm': 12}, 'prec3': {'nm': 1, 'dm': 6}, 'prec4': {'nm': 3, 'dm': 17}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.104, 'acc_margin': -0.104, 'prec1': -0.126, 'prec2': -0.033, 'prec3': -0.283, 'prec4': -0.324, 'prec5': 999}",0,0,0,0,0,0,0
1,base_shrinkage,10,0,{1: 0.83},0.591111111,0.691729323,3130.347291,3130.347312,,{1: 0.0},"{'acc_margin': 0.591, 'prec1': 0.87, 'prec2': 0.265, 'prec3': 0.45, 'prec4': 0.5, 'prec5': -1}","{'acc_margin': {'nm': 133.0, 'dm': 225}, 1: {'nm': 80.0, 'dm': 92.0}, 2: {'nm': 13.0, 'dm': 49.0}, 3: {'nm': 18.0, 'dm': 40.0}, 4: {'nm': 22.0, 'dm': 44.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.591, 'acc_margin': 0.591, 'prec1': 0.87, 'prec2': 0.265, 'prec3': 0.45, 'prec4': 0.5, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 133, 'dm': 225}, 'acc_margin': {'nm': 133, 'dm': 225}, 'prec1': {'nm': 80, 'dm': 92}, 'prec2': {'nm': 13, 'dm': 49}, 'prec3': {'nm': 18, 'dm': 40}, 'prec4': {'nm': 22, 'dm': 44}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.5, 'acc_margin': 0.474, 'prec1': 0.725, 'prec2': 0.2, 'prec3': 0.4, 'prec4': 0.25, 'prec5': -1}",{'prec1': -0.105},"{'acc': {'nm': 38, 'dm': 76}, 'acc_margin': {'nm': 36, 'dm': 76}, 'prec1': {'nm': 29, 'dm': 40}, 'prec2': {'nm': 3, 'dm': 15}, 'prec3': {'nm': 2, 'dm': 5}, 'prec4': {'nm': 4, 'dm': 16}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.091, 'acc_margin': -0.117, 'prec1': -0.145, 'prec2': -0.065, 'prec3': -0.05, 'prec4': -0.25, 'prec5': 999}",0,0,0,0,0,0,0
1,simplified_arbitrary4_fixed,10,0,{1: 0.83},0.737777778,0.355421687,346.9332306,349.9056847,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",{1: 0.0},"{'acc_margin': 0.738, 'prec1': 0.83, 'prec2': 0.046, 'prec3': 0.014, 'prec4': 0.0, 'prec5': -1}","{'acc_margin': {'nm': 166.0, 'dm': 225}, 1: {'nm': 93.0, 'dm': 112.0}, 2: {'nm': 4.0, 'dm': 87.0}, 3: {'nm': 1.0, 'dm': 72.0}, 4: {'nm': 0.0, 'dm': 131.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.738, 'acc_margin': 0.738, 'prec1': 0.899, 'prec2': 0.532, 'prec3': 0.731, 'prec4': 0.558, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 166, 'dm': 225}, 'acc_margin': {'nm': 166, 'dm': 225}, 'prec1': {'nm': 98, 'dm': 109}, 'prec2': {'nm': 25, 'dm': 47}, 'prec3': {'nm': 19, 'dm': 26}, 'prec4': {'nm': 24, 'dm': 43}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.526, 'acc_margin': 0.513, 'prec1': 0.789, 'prec2': 0.263, 'prec3': 0.333, 'prec4': 0.231, 'prec5': -1}",{'prec1': -0.041},"{'acc': {'nm': 40, 'dm': 76}, 'acc_margin': {'nm': 39, 'dm': 76}, 'prec1': {'nm': 30, 'dm': 38}, 'prec2': {'nm': 5, 'dm': 19}, 'prec3': {'nm': 2, 'dm': 6}, 'prec4': {'nm': 3, 'dm': 13}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.212, 'acc_margin': -0.225, 'prec1': -0.11, 'prec2': -0.269, 'prec3': -0.398, 'prec4': -0.327, 'prec5': 999}",0,0,0,0,0,0,0
1,simplified_arbitrary1_fixed,10,0,{1: 0.83},0.737777778,0.355421687,349.6830113,350.9824555,,{1: 0.0},"{'acc_margin': 0.738, 'prec1': 0.83, 'prec2': 0.046, 'prec3': 0.014, 'prec4': 0.0, 'prec5': -1}","{'acc_margin': {'nm': 166.0, 'dm': 225}, 1: {'nm': 93.0, 'dm': 112.0}, 2: {'nm': 4.0, 'dm': 87.0}, 3: {'nm': 1.0, 'dm': 72.0}, 4: {'nm': 0.0, 'dm': 131.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.738, 'acc_margin': 0.738, 'prec1': 0.899, 'prec2': 0.532, 'prec3': 0.731, 'prec4': 0.558, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 166, 'dm': 225}, 'acc_margin': {'nm': 166, 'dm': 225}, 'prec1': {'nm': 98, 'dm': 109}, 'prec2': {'nm': 25, 'dm': 47}, 'prec3': {'nm': 19, 'dm': 26}, 'prec4': {'nm': 24, 'dm': 43}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.526, 'acc_margin': 0.513, 'prec1': 0.789, 'prec2': 0.263, 'prec3': 0.333, 'prec4': 0.231, 'prec5': -1}",{'prec1': -0.041},"{'acc': {'nm': 40, 'dm': 76}, 'acc_margin': {'nm': 39, 'dm': 76}, 'prec1': {'nm': 30, 'dm': 38}, 'prec2': {'nm': 5, 'dm': 19}, 'prec3': {'nm': 2, 'dm': 6}, 'prec4': {'nm': 3, 'dm': 13}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.212, 'acc_margin': -0.225, 'prec1': -0.11, 'prec2': -0.269, 'prec3': -0.398, 'prec4': -0.327, 'prec5': 999}",0,0,0,0,0,0,0
1,simplified_arbitrary4_shrinkage,10,0,{1: 0.83},0.826666667,0.209677419,1124.435122,1125.604334,"{'iter_0': 0, 'iter_1': 0, 'iter_2': 0, 'iter_3': 0}",{1: 0.0},"{'acc_margin': 0.827, 'prec1': 0.891, 'prec2': 1.0, 'prec3': 0.6, 'prec4': 0.765, 'prec5': -1}","{'acc_margin': {'nm': 186.0, 'dm': 225}, 1: {'nm': 122.0, 'dm': 137.0}, 2: {'nm': 14.0, 'dm': 14.0}, 3: {'nm': 24.0, 'dm': 40.0}, 4: {'nm': 26.0, 'dm': 34.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.827, 'acc_margin': 0.827, 'prec1': 0.891, 'prec2': 1.0, 'prec3': 0.6, 'prec4': 0.765, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 186, 'dm': 225}, 'acc_margin': {'nm': 186, 'dm': 225}, 'prec1': {'nm': 122, 'dm': 137}, 'prec2': {'nm': 14, 'dm': 14}, 'prec3': {'nm': 24, 'dm': 40}, 'prec4': {'nm': 26, 'dm': 34}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.579, 'acc_margin': 0.539, 'prec1': 0.771, 'prec2': 0.5, 'prec3': 0.182, 'prec4': 0.182, 'prec5': -1}",{'prec1': -0.059},"{'acc': {'nm': 44, 'dm': 76}, 'acc_margin': {'nm': 41, 'dm': 76}, 'prec1': {'nm': 37, 'dm': 48}, 'prec2': {'nm': 3, 'dm': 6}, 'prec3': {'nm': 2, 'dm': 11}, 'prec4': {'nm': 2, 'dm': 11}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.248, 'acc_margin': -0.288, 'prec1': -0.12, 'prec2': -0.5, 'prec3': -0.418, 'prec4': -0.583, 'prec5': 999}",0,0,0,0,0,0,0
1,simplified_arbitrary1_shrinkage,10,0,{1: 0.83},0.826666667,0.209677419,1133.067097,1133.595131,,{1: 0.0},"{'acc_margin': 0.827, 'prec1': 0.891, 'prec2': 1.0, 'prec3': 0.6, 'prec4': 0.765, 'prec5': -1}","{'acc_margin': {'nm': 186.0, 'dm': 225}, 1: {'nm': 122.0, 'dm': 137.0}, 2: {'nm': 14.0, 'dm': 14.0}, 3: {'nm': 24.0, 'dm': 40.0}, 4: {'nm': 26.0, 'dm': 34.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.827, 'acc_margin': 0.827, 'prec1': 0.891, 'prec2': 1.0, 'prec3': 0.6, 'prec4': 0.765, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 186, 'dm': 225}, 'acc_margin': {'nm': 186, 'dm': 225}, 'prec1': {'nm': 122, 'dm': 137}, 'prec2': {'nm': 14, 'dm': 14}, 'prec3': {'nm': 24, 'dm': 40}, 'prec4': {'nm': 26, 'dm': 34}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.579, 'acc_margin': 0.539, 'prec1': 0.771, 'prec2': 0.5, 'prec3': 0.182, 'prec4': 0.182, 'prec5': -1}",{'prec1': -0.059},"{'acc': {'nm': 44, 'dm': 76}, 'acc_margin': {'nm': 41, 'dm': 76}, 'prec1': {'nm': 37, 'dm': 48}, 'prec2': {'nm': 3, 'dm': 6}, 'prec3': {'nm': 2, 'dm': 11}, 'prec4': {'nm': 2, 'dm': 11}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.248, 'acc_margin': -0.288, 'prec1': -0.12, 'prec2': -0.5, 'prec3': -0.418, 'prec4': -0.583, 'prec5': 999}",0,0,0,0,0,0,0
2,full_mip,12,0,{1: 0.83},0.608888889,0.642335766,3548.054961,3600.330974,,{1: 0.0},"{'acc_margin': 0.609, 'prec1': 0.837, 'prec2': 0.0, 'prec3': 0.0, 'prec4': 0.0, 'prec5': -1}","{'acc_margin': {'nm': 137.0, 'dm': 225}, 1: {'nm': 77.0, 'dm': 92.0}, 2: {'nm': 0.0, 'dm': 789.0}, 3: {'nm': 0.0, 'dm': 225.0}, 4: {'nm': 0.0, 'dm': 126.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.609, 'acc_margin': 0.609, 'prec1': 0.913, 'prec2': 0.31, 'prec3': 0.478, 'prec4': 0.615, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 137, 'dm': 225}, 'acc_margin': {'nm': 137, 'dm': 225}, 'prec1': {'nm': 84, 'dm': 92}, 'prec2': {'nm': 26, 'dm': 84}, 'prec3': {'nm': 11, 'dm': 23}, 'prec4': {'nm': 16, 'dm': 26}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.474, 'acc_margin': 0.474, 'prec1': 0.812, 'prec2': 0.217, 'prec3': 0.231, 'prec4': 0.25, 'prec5': -1}",{'prec1': -0.018},"{'acc': {'nm': 36, 'dm': 76}, 'acc_margin': {'nm': 36, 'dm': 76}, 'prec1': {'nm': 26, 'dm': 32}, 'prec2': {'nm': 5, 'dm': 23}, 'prec3': {'nm': 3, 'dm': 13}, 'prec4': {'nm': 2, 'dm': 8}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.135, 'acc_margin': -0.135, 'prec1': -0.101, 'prec2': -0.093, 'prec3': -0.247, 'prec4': -0.365, 'prec5': 999}",0,0,0,0,0,0,0
2,base_fixed,12,0,{1: 0.83},0.684444444,0.461038961,2147.591861,2147.59187,,{1: 0.0},"{'acc_margin': 0.684, 'prec1': 0.845, 'prec2': 0.068, 'prec3': 0.0, 'prec4': 0.0, 'prec5': -1}","{'acc_margin': {'nm': 154.0, 'dm': 225}, 1: {'nm': 109.0, 'dm': 129.0}, 2: {'nm': 3.0, 'dm': 44.0}, 3: {'nm': 0.0, 'dm': 21.0}, 4: {'nm': 0.0, 'dm': 35.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.684, 'acc_margin': 0.684, 'prec1': 0.845, 'prec2': 0.35, 'prec3': 0.619, 'prec4': 0.514, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 154, 'dm': 225}, 'acc_margin': {'nm': 154, 'dm': 225}, 'prec1': {'nm': 109, 'dm': 129}, 'prec2': {'nm': 14, 'dm': 40}, 'prec3': {'nm': 13, 'dm': 21}, 'prec4': {'nm': 18, 'dm': 35}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.513, 'acc_margin': 0.513, 'prec1': 0.75, 'prec2': 0.25, 'prec3': 0.182, 'prec4': 0.111, 'prec5': -1}",{'prec1': -0.08},"{'acc': {'nm': 39, 'dm': 76}, 'acc_margin': {'nm': 39, 'dm': 76}, 'prec1': {'nm': 33, 'dm': 44}, 'prec2': {'nm': 3, 'dm': 12}, 'prec3': {'nm': 2, 'dm': 11}, 'prec4': {'nm': 1, 'dm': 9}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.171, 'acc_margin': -0.171, 'prec1': -0.095, 'prec2': -0.1, 'prec3': -0.437, 'prec4': -0.403, 'prec5': 999}",0,0,0,0,0,0,0
2,base_shrinkage,12,0,{1: 0.83},0.72,0.388888889,4805.931617,4805.931643,,{1: 0.0},"{'acc_margin': 0.72, 'prec1': 0.843, 'prec2': 0.459, 'prec3': 0.667, 'prec4': 0.545, 'prec5': -1}","{'acc_margin': {'nm': 162.0, 'dm': 225}, 1: {'nm': 113.0, 'dm': 134.0}, 2: {'nm': 17.0, 'dm': 37.0}, 3: {'nm': 14.0, 'dm': 21.0}, 4: {'nm': 18.0, 'dm': 33.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.72, 'acc_margin': 0.72, 'prec1': 0.843, 'prec2': 0.459, 'prec3': 0.667, 'prec4': 0.545, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 162, 'dm': 225}, 'acc_margin': {'nm': 162, 'dm': 225}, 'prec1': {'nm': 113, 'dm': 134}, 'prec2': {'nm': 17, 'dm': 37}, 'prec3': {'nm': 14, 'dm': 21}, 'prec4': {'nm': 18, 'dm': 33}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.461, 'acc_margin': 0.461, 'prec1': 0.727, 'prec2': 0.167, 'prec3': 0.1, 'prec4': 0.0, 'prec5': -1}",{'prec1': -0.103},"{'acc': {'nm': 35, 'dm': 76}, 'acc_margin': {'nm': 35, 'dm': 76}, 'prec1': {'nm': 32, 'dm': 44}, 'prec2': {'nm': 2, 'dm': 12}, 'prec3': {'nm': 1, 'dm': 10}, 'prec4': {'nm': 0, 'dm': 10}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.259, 'acc_margin': -0.259, 'prec1': -0.116, 'prec2': -0.292, 'prec3': -0.567, 'prec4': -0.545, 'prec5': 999}",0,0,0,0,0,0,0
2,simplified_arbitrary4_fixed,12,0,{1: 0.83},0.76,0,327.6632922,330.5893495,"[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",{1: 0.0},"{'acc_margin': 0.76, 'prec1': 0.891, 'prec2': 0.509, 'prec3': 0.667, 'prec4': 0.714, 'prec5': -1}","{'acc_margin': {'nm': 171.0, 'dm': 225}, 1: {'nm': 114.0, 'dm': 128.0}, 2: {'nm': 28.0, 'dm': 55.0}, 3: {'nm': 14.0, 'dm': 21.0}, 4: {'nm': 15.0, 'dm': 21.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.76, 'acc_margin': 0.76, 'prec1': 0.891, 'prec2': 0.509, 'prec3': 0.667, 'prec4': 0.714, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 171, 'dm': 225}, 'acc_margin': {'nm': 171, 'dm': 225}, 'prec1': {'nm': 114, 'dm': 128}, 'prec2': {'nm': 28, 'dm': 55}, 'prec3': {'nm': 14, 'dm': 21}, 'prec4': {'nm': 15, 'dm': 21}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.513, 'acc_margin': 0.487, 'prec1': 0.756, 'prec2': 0.154, 'prec3': 0.167, 'prec4': 0.167, 'prec5': -1}",{'prec1': -0.074},"{'acc': {'nm': 39, 'dm': 76}, 'acc_margin': {'nm': 37, 'dm': 76}, 'prec1': {'nm': 34, 'dm': 45}, 'prec2': {'nm': 2, 'dm': 13}, 'prec3': {'nm': 2, 'dm': 12}, 'prec4': {'nm': 1, 'dm': 6}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.247, 'acc_margin': -0.273, 'prec1': -0.135, 'prec2': -0.355, 'prec3': -0.5, 'prec4': -0.547, 'prec5': 999}",0,0,0,0,0,0,0
2,simplified_arbitrary1_fixed,12,0,{1: 0.83},0.795555556,0,352.5888553,353.9025602,,{1: 0.0},"{'acc_margin': 0.796, 'prec1': 0.837, 'prec2': 0.263, 'prec3': 0.2, 'prec4': 0.143, 'prec5': 0.045}","{'acc_margin': {'nm': 179.0, 'dm': 225}, 1: {'nm': 108.0, 'dm': 129.0}, 2: {'nm': 20.0, 'dm': 76.0}, 3: {'nm': 5.0, 'dm': 25.0}, 4: {'nm': 6.0, 'dm': 42.0}, 5: {'nm': 1.0, 'dm': 22.0}}","{'acc': 0.796, 'acc_margin': 0.796, 'prec1': 0.926, 'prec2': 0.525, 'prec3': 0.8, 'prec4': 0.818, 'prec5': 0.714}",{'prec1': 0},"{'acc': {'nm': 179, 'dm': 225}, 'acc_margin': {'nm': 179, 'dm': 225}, 'prec1': {'nm': 113, 'dm': 122}, 'prec2': {'nm': 31, 'dm': 59}, 'prec3': {'nm': 12, 'dm': 15}, 'prec4': {'nm': 18, 'dm': 22}, 'prec5': {'nm': 5, 'dm': 7}}","{'acc': 0.513, 'acc_margin': 0.474, 'prec1': 0.8, 'prec2': 0.158, 'prec3': 0.111, 'prec4': 0.286, 'prec5': 1.0}",{'prec1': -0.03},"{'acc': {'nm': 39, 'dm': 76}, 'acc_margin': {'nm': 36, 'dm': 76}, 'prec1': {'nm': 32, 'dm': 40}, 'prec2': {'nm': 3, 'dm': 19}, 'prec3': {'nm': 1, 'dm': 9}, 'prec4': {'nm': 2, 'dm': 7}, 'prec5': {'nm': 1, 'dm': 1}}","{'acc': -0.283, 'acc_margin': -0.322, 'prec1': -0.126, 'prec2': -0.367, 'prec3': -0.689, 'prec4': -0.532, 'prec5': 0.286}",0,0,0,0,0,0,0
2,simplified_arbitrary4_shrinkage,12,0,{1: 0.83},0.8,0.25,807.4819956,808.7439361,"{'iter_0': 0, 'iter_1': 0, 'iter_2': 0, 'iter_3': 0}",{1: 0.0},"{'acc_margin': 0.8, 'prec1': 0.882, 'prec2': 0.688, 'prec3': 0.667, 'prec4': 0.667, 'prec5': -1}","{'acc_margin': {'nm': 180.0, 'dm': 225}, 1: {'nm': 120.0, 'dm': 136.0}, 2: {'nm': 22.0, 'dm': 32.0}, 3: {'nm': 22.0, 'dm': 33.0}, 4: {'nm': 16.0, 'dm': 24.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.8, 'acc_margin': 0.8, 'prec1': 0.882, 'prec2': 0.688, 'prec3': 0.667, 'prec4': 0.667, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 180, 'dm': 225}, 'acc_margin': {'nm': 180, 'dm': 225}, 'prec1': {'nm': 120, 'dm': 136}, 'prec2': {'nm': 22, 'dm': 32}, 'prec3': {'nm': 22, 'dm': 33}, 'prec4': {'nm': 16, 'dm': 24}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.566, 'acc_margin': 0.526, 'prec1': 0.791, 'prec2': 0.273, 'prec3': 0.231, 'prec4': 0.333, 'prec5': -1}",{'prec1': -0.039},"{'acc': {'nm': 43, 'dm': 76}, 'acc_margin': {'nm': 40, 'dm': 76}, 'prec1': {'nm': 34, 'dm': 43}, 'prec2': {'nm': 3, 'dm': 11}, 'prec3': {'nm': 3, 'dm': 13}, 'prec4': {'nm': 3, 'dm': 9}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.234, 'acc_margin': -0.274, 'prec1': -0.091, 'prec2': -0.415, 'prec3': -0.436, 'prec4': -0.334, 'prec5': 999}",0,0,0,0,0,0,0
2,simplified_arbitrary1_shrinkage,12,0,{1: 0.83},0.8,0.25,791.7949708,792.3527832,,{1: 0.0},"{'acc_margin': 0.8, 'prec1': 0.882, 'prec2': 0.688, 'prec3': 0.667, 'prec4': 0.667, 'prec5': -1}","{'acc_margin': {'nm': 180.0, 'dm': 225}, 1: {'nm': 120.0, 'dm': 136.0}, 2: {'nm': 22.0, 'dm': 32.0}, 3: {'nm': 22.0, 'dm': 33.0}, 4: {'nm': 16.0, 'dm': 24.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.8, 'acc_margin': 0.8, 'prec1': 0.882, 'prec2': 0.688, 'prec3': 0.667, 'prec4': 0.667, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 180, 'dm': 225}, 'acc_margin': {'nm': 180, 'dm': 225}, 'prec1': {'nm': 120, 'dm': 136}, 'prec2': {'nm': 22, 'dm': 32}, 'prec3': {'nm': 22, 'dm': 33}, 'prec4': {'nm': 16, 'dm': 24}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.566, 'acc_margin': 0.526, 'prec1': 0.791, 'prec2': 0.273, 'prec3': 0.231, 'prec4': 0.333, 'prec5': -1}",{'prec1': -0.039},"{'acc': {'nm': 43, 'dm': 76}, 'acc_margin': {'nm': 40, 'dm': 76}, 'prec1': {'nm': 34, 'dm': 43}, 'prec2': {'nm': 3, 'dm': 11}, 'prec3': {'nm': 3, 'dm': 13}, 'prec4': {'nm': 3, 'dm': 9}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.234, 'acc_margin': -0.274, 'prec1': -0.091, 'prec2': -0.415, 'prec3': -0.436, 'prec4': -0.334, 'prec5': 999}",0,0,0,0,0,0,0
3,full_mip,7,0,{1: 0.83},0.582222222,0.717557252,3455.700972,3600.120207,,{1: 0.0},"{'acc_margin': 0.582, 'prec1': 0.86, 'prec2': 0.0, 'prec3': 0.0, 'prec4': 0.0, 'prec5': -1}","{'acc_margin': {'nm': 131.0, 'dm': 225}, 1: {'nm': 92.0, 'dm': 107.0}, 2: {'nm': 0.0, 'dm': 398.0}, 3: {'nm': 0.0, 'dm': 146.0}, 4: {'nm': 0.0, 'dm': 225.0}, 5: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.582, 'acc_margin': 0.582, 'prec1': 0.869, 'prec2': 0.333, 'prec3': 0.364, 'prec4': 0.308, 'prec5': -1}",{'prec1': 0},"{'acc': {'nm': 131, 'dm': 225}, 'acc_margin': {'nm': 131, 'dm': 225}, 'prec1': {'nm': 93, 'dm': 107}, 'prec2': {'nm': 14, 'dm': 42}, 'prec3': {'nm': 4, 'dm': 11}, 'prec4': {'nm': 20, 'dm': 65}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': 0.513, 'acc_margin': 0.5, 'prec1': 0.789, 'prec2': 0.211, 'prec3': 1.0, 'prec4': 0.222, 'prec5': -1}",{'prec1': -0.041},"{'acc': {'nm': 39, 'dm': 76}, 'acc_margin': {'nm': 38, 'dm': 76}, 'prec1': {'nm': 30, 'dm': 38}, 'prec2': {'nm': 4, 'dm': 19}, 'prec3': {'nm': 1, 'dm': 1}, 'prec4': {'nm': 4, 'dm': 18}, 'prec5': {'nm': 0, 'dm': 0}}","{'acc': -0.069, 'acc_margin': -0.082, 'prec1': -0.08, 'prec2': -0.122, 'prec3': 0.636, 'prec4': -0.086, 'prec5': 999}",0,0,0,0,0,0,0
